"year","lifehistory","iteration","Rest","SigmaR","Fscen","Lyears","Nsamp","Rich","max_grad","variable","estimate","sd"
8,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.0030631,7.98025e-06
8,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",0.986773,0.00107454
8,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
8,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"MSY",2614.05,NA
8,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Fmsy",0.122338,NA
8,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"LN_R0",9.99999,NA
8,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_peak",42,NA
8,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_shape",5.1,NA
8,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB0",22725.95,NA
9,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB",44751,113.586
9,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Recruit",21989,224.091
9,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SPR",0.9687939,7.28839e-05
9,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.00329802,9.0164e-06
9,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",0.984581,0.00133078
9,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
9,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"MSY",2614.05,NA
9,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Fmsy",0.122338,NA
9,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"LN_R0",9.99999,NA
9,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_peak",42,NA
9,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_shape",5.1,NA
9,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB0",22725.95,NA
10,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB",44649.8,120.48
10,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Recruit",21983.6,223.95
10,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SPR",0.9666232,8.26296e-05
10,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.00353282,1.00573e-05
10,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",0.982354,0.00154151
10,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
10,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"MSY",2614.05,NA
10,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Fmsy",0.122338,NA
10,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"LN_R0",9.99999,NA
10,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_peak",42,NA
10,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_shape",5.1,NA
10,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB0",22725.95,NA
11,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB",44547.3,126.461
11,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Recruit",21978,223.794
11,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SPR",0.9644599,9.20331e-05
11,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.00376753,1.10859e-05
11,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",0.980098,0.00170862
11,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
11,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"MSY",2614.05,NA
11,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Fmsy",0.122338,NA
11,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"LN_R0",9.99999,NA
11,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_peak",42,NA
11,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_shape",5.1,NA
11,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB0",22725.95,NA
12,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB",44443.7,131.406
12,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Recruit",21972.4,223.621
12,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SPR",0.9623041,0.000101028
12,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.00400213,1.20919e-05
12,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",0.977819,0.00183787
12,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
12,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"MSY",2614.05,NA
