"year","lifehistory","iteration","Rest","SigmaR","Fscen","variable","true"
12,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
12,"short_slow",1,"om","Deterministic","F1","LN_R0",10
12,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
12,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
12,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
13,"short_slow",1,"om","Deterministic","F1","SSB",44338.7
13,"short_slow",1,"om","Deterministic","F1","Recruit",21966.3
13,"short_slow",1,"om","Deterministic","F1","SPR",0.9601552
13,"short_slow",1,"om","Deterministic","F1","F",0.0042367
13,"short_slow",1,"om","Deterministic","F1","Depletion",0.975499
13,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
13,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
13,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
13,"short_slow",1,"om","Deterministic","F1","LN_R0",10
13,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
13,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
13,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
14,"short_slow",1,"om","Deterministic","F1","SSB",44233.4
14,"short_slow",1,"om","Deterministic","F1","Recruit",21960.5
14,"short_slow",1,"om","Deterministic","F1","SPR",0.9580143
14,"short_slow",1,"om","Deterministic","F1","F",0.00447111
14,"short_slow",1,"om","Deterministic","F1","Depletion",0.973182
14,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
14,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
14,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
14,"short_slow",1,"om","Deterministic","F1","LN_R0",10
14,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
14,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
14,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
15,"short_slow",1,"om","Deterministic","F1","SSB",44127.5
15,"short_slow",1,"om","Deterministic","F1","Recruit",21954.7
15,"short_slow",1,"om","Deterministic","F1","SPR",0.9558807
15,"short_slow",1,"om","Deterministic","F1","F",0.00470541
15,"short_slow",1,"om","Deterministic","F1","Depletion",0.970853
15,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
15,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
15,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
15,"short_slow",1,"om","Deterministic","F1","LN_R0",10
15,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
15,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
15,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
16,"short_slow",1,"om","Deterministic","F1","SSB",44021.2
16,"short_slow",1,"om","Deterministic","F1","Recruit",21948.9
16,"short_slow",1,"om","Deterministic","F1","SPR",0.9537546
16,"short_slow",1,"om","Deterministic","F1","F",0.00493961
16,"short_slow",1,"om","Deterministic","F1","Depletion",0.968515
16,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
16,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
16,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
16,"short_slow",1,"om","Deterministic","F1","LN_R0",10
16,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
16,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
16,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
17,"short_slow",1,"om","Deterministic","F1","SSB",43914.6
17,"short_slow",1,"om","Deterministic","F1","Recruit",21943
17,"short_slow",1,"om","Deterministic","F1","SPR",0.9516358
17,"short_slow",1,"om","Deterministic","F1","F",0.0051737
17,"short_slow",1,"om","Deterministic","F1","Depletion",0.966169
17,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
17,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
17,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
17,"short_slow",1,"om","Deterministic","F1","LN_R0",10
17,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
17,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
17,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
18,"short_slow",1,"om","Deterministic","F1","SSB",43807.7
18,"short_slow",1,"om","Deterministic","F1","Recruit",21937.1
18,"short_slow",1,"om","Deterministic","F1","SPR",0.9495243
18,"short_slow",1,"om","Deterministic","F1","F",0.00540769
18,"short_slow",1,"om","Deterministic","F1","Depletion",0.963817
18,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
18,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
18,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
18,"short_slow",1,"om","Deterministic","F1","LN_R0",10
18,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
18,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
18,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
19,"short_slow",1,"om","Deterministic","F1","SSB",43700.7
19,"short_slow",1,"om","Deterministic","F1","Recruit",21931.2
19,"short_slow",1,"om","Deterministic","F1","SPR",0.94742
19,"short_slow",1,"om","Deterministic","F1","F",0.00564158
19,"short_slow",1,"om","Deterministic","F1","Depletion",0.961462
19,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
19,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
19,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
19,"short_slow",1,"om","Deterministic","F1","LN_R0",10
19,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
19,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
19,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
20,"short_slow",1,"om","Deterministic","F1","SSB",43593.5
20,"short_slow",1,"om","Deterministic","F1","Recruit",21925.2
20,"short_slow",1,"om","Deterministic","F1","SPR",0.945323
20,"short_slow",1,"om","Deterministic","F1","F",0.00587536
20,"short_slow",1,"om","Deterministic","F1","Depletion",0.959105
20,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
20,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
20,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
20,"short_slow",1,"om","Deterministic","F1","LN_R0",10
20,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
20,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
20,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
21,"short_slow",1,"om","Deterministic","F1","SSB",43486.3
21,"short_slow",1,"om","Deterministic","F1","Recruit",21919.2
21,"short_slow",1,"om","Deterministic","F1","SPR",0.9432332
21,"short_slow",1,"om","Deterministic","F1","F",0.00610903
21,"short_slow",1,"om","Deterministic","F1","Depletion",0.956747
21,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
21,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
21,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
21,"short_slow",1,"om","Deterministic","F1","LN_R0",10
21,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
21,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
21,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
22,"short_slow",1,"om","Deterministic","F1","SSB",43379.2
22,"short_slow",1,"om","Deterministic","F1","Recruit",21913.2
22,"short_slow",1,"om","Deterministic","F1","SPR",0.9411506
22,"short_slow",1,"om","Deterministic","F1","F",0.0063426
22,"short_slow",1,"om","Deterministic","F1","Depletion",0.954388
22,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
22,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
22,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
22,"short_slow",1,"om","Deterministic","F1","LN_R0",10
22,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
22,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
22,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
23,"short_slow",1,"om","Deterministic","F1","SSB",43272
23,"short_slow",1,"om","Deterministic","F1","Recruit",21907.1
23,"short_slow",1,"om","Deterministic","F1","SPR",0.9390751
23,"short_slow",1,"om","Deterministic","F1","F",0.00657607
23,"short_slow",1,"om","Deterministic","F1","Depletion",0.952031
23,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
