"","lifehistory","Rest","SigmaR","Lyears","Nsamp","Fscen","variable","year","mre","mare","pconverge"
"86","short_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","Selex_ascend",100,-0.0040294117647059,0.0146803921568627,1
"87","short_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","Selex_peak",100,0.00628571428571435,0.0144071428571429,1
"88","short_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","SPR",100,0.0485139007231971,0.189204019607275,1
"89","short_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","SSB",100,0.0730767978354632,0.343009542994296,1
"90","short_fast","R_biasadjusted","HighSigmaR","L10","N200","F1","SSB0",100,0.024476320582878,0.145992263160742,1
"91","short_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Depletion",100,0.0216112088451551,0.233139481995919,1
"92","short_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","F",100,-0.0518823187165343,0.322474408843757,1
"93","short_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","OFL",100,0.0633151423904536,0.344118150618799,1
"94","short_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Recruit",100,0.464329894085108,0.548640442305067,1
"95","short_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Selex_ascend",100,-0.0124147058823529,0.0188882352941177,1
"96","short_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","Selex_peak",100,-0.0136119047619048,0.017725,1
"97","short_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","SPR",100,0.0299528753021371,0.19525352469168,1
"98","short_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","SSB",100,0.0512653063288868,0.317339840859439,1
"99","short_fast","R_biasadjusted","HighSigmaR","L20","N200","F1","SSB0",100,0.0135281970820033,0.11920976933759,1
"100","short_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","Depletion",100,-0.110092479738226,0.258050804478966,1
"101","short_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","F",100,0.186392381176699,0.303377247603595,1
"102","short_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","OFL",100,-0.154106413472554,0.321185877289783,1
"103","short_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","Recruit",100,0.223114985151969,0.344755311777283,1
"104","short_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","Selex_ascend",100,-0.003785294117647,0.00642647058823529,1
"105","short_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","Selex_peak",100,-0.00249523809523812,0.006225,1
"106","short_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","SPR",100,-0.0988324126724669,0.179643830799342,1
"107","short_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","SSB",100,-0.157634193572395,0.303529050897495,1
