"","lifehistory","Rest","SigmaR","Lyears","Nsamp","Fscen","variable","year","label","mre","mare","n_nonconverge"
"78","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","SPR",100,"L20_Ndecline",-0.0384980837465421,0.180537448773654,0
"79","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","SSB",100,"L20_Ndecline",-0.0613884323404123,0.318271355073037,0
"80","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","SSB0",100,"L20_Ndecline",-0.0207710284695973,0.10806669420927,0
"81","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","F",100,"L75_N200",0.176866204997737,0.24274865443497,0
"82","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","Fraction of unfished",100,"L75_N200",-0.0782015284097169,0.17544211043058,0
"83","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","LN_R0",100,"L75_N200",-0.002095,0.00721150000000001,0
"84","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","OFL",100,"L75_N200",-0.15696529338867,0.216668010251409,0
"85","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","Recruit",100,"L75_N200",0.350049246938371,0.517232749847205,0
"86","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","Selex_ascend",100,"L75_N200",-0.00458725490196075,0.00606862745098036,0
"87","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","Selex_peak",100,"L75_N200",-0.0037261904761905,0.00749404761904762,0
"88","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","SPR",100,"L75_N200",-0.0896262323782305,0.123565147941501,0
"89","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","SSB",100,"L75_N200",-0.151769217002536,0.212954974797242,0
"90","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","SSB0",100,"L75_N200",-0.0207062827967664,0.071550134732662,0
"91","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","F",100,"L75_N50",0.0568337524694998,0.217226236468711,0
"92","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","Fraction of unfished",100,"L75_N50",0.0235325812886677,0.195082562237887,0
"93","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","LN_R0",100,"L75_N50",-0.0038125,0.00804999999999998,0
"94","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","OFL",100,"L75_N50",-0.0647678450336931,0.219328601994767,0
"95","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","Recruit",100,"L75_N50",0.444246426876084,0.590300905222232,0
"96","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","Selex_ascend",100,"L75_N50",0.00151078431372559,0.00939803921568628,0
"97","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","Selex_peak",100,"L75_N50",0.00120714285714284,0.0106678571428571,0
"98","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","SPR",100,"L75_N50",-0.0248738863939459,0.116204078655237,0
"99","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","SSB",100,"L75_N50",-0.0344527851722693,0.232380289081533,0
"100","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","SSB0",100,"L75_N50",-0.0373767519870755,0.0807286046382567,0
"101","long_fast","R_unadjusted","HighSigmaR","L1","N50","F1","F",100,"L1_N50",0.215961513183137,0.60425085343098,12
"102","long_fast","R_unadjusted","HighSigmaR","L1","N50","F1","Fraction of unfished",100,"L1_N50",-0.399487400381478,0.464057224104745,12
