"","lifehistory","Rest","SigmaR","Lyears","Nsamp","variable","year","label","mre","mare","n_nonconverge"
"191","long_fast","R_unadjusted","HighSigmaR","L10","N50","Fraction of unfished",100,"L10_N50",-0.306734782188256,0.365103697473418,0
"192","long_fast","R_unadjusted","HighSigmaR","L10","N50","OFL",100,"L10_N50",0.0483202704229482,0.445339667745404,0
"193","long_fast","R_unadjusted","HighSigmaR","L10","N50","Recruit",100,"L10_N50",0.907567178793875,0.907567178793875,0
"194","long_fast","R_unadjusted","HighSigmaR","L10","N50","SPR",100,"L10_N50",0.0114395374805708,0.229015200968133,0
"195","long_fast","R_unadjusted","HighSigmaR","L10","N50","SSB",100,"L10_N50",-0.0394188367174587,0.48317990503524,0
"196","long_fast","R_unadjusted","HighSigmaR","L10","N50","SSB0",100,"L10_N50",0.409204984800183,0.409204984800183,0
"197","long_fast","R_unadjusted","HighSigmaR","L20","N200","F",100,"L20_N200",-0.276978056753664,0.299853692442253,0
"198","long_fast","R_unadjusted","HighSigmaR","L20","N200","Fraction of unfished",100,"L20_N200",-0.0825766408082546,0.181553584934163,0
"199","long_fast","R_unadjusted","HighSigmaR","L20","N200","OFL",100,"L20_N200",0.397574641797872,0.413848057640119,0
"200","long_fast","R_unadjusted","HighSigmaR","L20","N200","Recruit",100,"L20_N200",0.874175014125609,0.874175014125609,0
"201","long_fast","R_unadjusted","HighSigmaR","L20","N200","SPR",100,"L20_N200",0.166103356108911,0.178851257956333,0
"202","long_fast","R_unadjusted","HighSigmaR","L20","N200","SSB",100,"L20_N200",0.364165825970812,0.386103265638827,0
"203","long_fast","R_unadjusted","HighSigmaR","L20","N200","SSB0",100,"L20_N200",0.440332237795441,0.440332237795441,0
"204","long_fast","R_unadjusted","HighSigmaR","L20","N50","F",100,"L20_N50",-0.203620004180311,0.314813455050049,0
"205","long_fast","R_unadjusted","HighSigmaR","L20","N50","Fraction of unfished",100,"L20_N50",-0.165115883083771,0.282617932177149,0
"206","long_fast","R_unadjusted","HighSigmaR","L20","N50","OFL",100,"L20_N50",0.25886107162386,0.34935326669071,0
"207","long_fast","R_unadjusted","HighSigmaR","L20","N50","Recruit",100,"L20_N50",1.01396288099914,1.01396288099914,0
"208","long_fast","R_unadjusted","HighSigmaR","L20","N50","SPR",100,"L20_N50",0.115232391323459,0.187016611270825,0
"209","long_fast","R_unadjusted","HighSigmaR","L20","N50","SSB",100,"L20_N50",0.234204694034773,0.348372396290801,0
"210","long_fast","R_unadjusted","HighSigmaR","L20","N50","SSB0",100,"L20_N50",0.458436361169862,0.458436361169862,0
"211","long_fast","R_unadjusted","HighSigmaR","L20","Ndecline","F",100,"L20_Ndecline",-0.148912987408897,0.285712812413508,0
"212","long_fast","R_unadjusted","HighSigmaR","L20","Ndecline","Fraction of unfished",100,"L20_Ndecline",-0.149080864933639,0.225177937914543,0
"213","long_fast","R_unadjusted","HighSigmaR","L20","Ndecline","OFL",100,"L20_Ndecline",0.187567669555598,0.350635096944319,0
"214","long_fast","R_unadjusted","HighSigmaR","L20","Ndecline","Recruit",100,"L20_Ndecline",1.07116211547767,1.07116211547767,0
"215","long_fast","R_unadjusted","HighSigmaR","L20","Ndecline","SPR",100,"L20_Ndecline",0.0806257329739617,0.150285146744427,0
"216","long_fast","R_unadjusted","HighSigmaR","L20","Ndecline","SSB",100,"L20_Ndecline",0.167535942772584,0.30915863232992,0
